	Name	Categories	Extrainfo
Jacques-Louis	David	Painting, Oil, Portrait, Neoclassicism, France, 18th Century	
Jack	Davis	Comic, Mad Magazine, USA	512px + Highres. Fix
Marc	Davis	Illustration, Animation, Character Design, Disney	
Craig	Davison	Illustration, Comic, UK	
Evelyn	De Morgan	Painting, Oil, Symbolism, Romanticism, UK, 19th Century	512px + Highres. Fix
Jonas	De Ro	Illustration, Concept Art, Belgium	
Dan	DeCarlo	Illustration, Comic, Pin-Ups, USA	512px + Highres. Fix, Euler a, eyes difficult, NSFW
Kelly Sue	DeConnick	Comic, DC Comics, Marvel, USA	
Michael	DeForge	Illustration, Comic, Graphic Novel, Canada	
Edwin	Deakin	Painting, Oil, Architecture, Landscape, Still Life, UK, USA, 19th Century	
Roger	Dean	Illustration, Painting, Acrylic, Fantasy, Cover Art, UK	start with 768px
Edgar	Degas	Painting, Oil, Portrait, Impressionism, France, 19th Century	
Robert Victor Félix	Delaunay	Painting, Oil, Watercolor, Pastel, Cubism, Abstract, France	
Nicolas	Delort	Illustration, Fantasy, MTG, Game Art, B&W, Canada, France	768px minimum
Paul	Delvaux	Painting, Oil, Ink, Watercolor, Surrealism, Belgium	
Jean	Delville	Painting, Symbolism, Belgium, 19th Century	Steps: 20, Sampler: Euler a, CFG scale: 7, Size: 512x512, Denoising strength: 0.2, Hires upscale: 2, Hires upscaler: SwinIR_4x
Wim	Delvoye	Concept Art, Belgium	
Maurice	Denis	Painting, Symbolism, France, 19th Century	
Guy	Denning	Painting, Oil, Street Art, B&W, UK	
Mike	Deodato	Comic, DC Comics, Marvel, B&W, Brazil	
Andre	Derain	Painting, Oil, Portrait, Landscape, Sculpture, Fauvism, France	
Charles Maurice	Detmold	Illustration, Watercolor, Ink, UK	
Vincent	Di Fate	Illustration, Painting, Fantasy, Sci-Fi, Cover Art, USA	
Karl Wilhelm	Diefenbach	Painting, Oil, Portrait, Landscape, Symbolism, Germany, 19th Century	
Diane	Dillon	Illustration, Children's Book, Cover Art, USA	
Steve	Ditko	Comic, Marvel, USA	
Anna	Dittmann	Illustration, Portrait, DC Comics, USA	
Gustave	Doré	Illustration, Painting, B&W, France, 19th Century	
Emory	Douglas	Illustration, Graphic Design, Print, Cover Art, Poster, USA	
David	Downton	Illustration, Fashion, Portrait, UK	
Tim	Doyle	Illustration, USA	
David C.	Driskell	Painting, Acrylic, Collage, USA	
Philippe	Druillet	Illustration, Comic, France	
Jean	Dubuffet	Painting, France	
Raymond	Duchamp-Villon	Sculpture, Drawing, Ink, France	
Jonny	Duddle	Author, Illustration, Children's Book, UK	output quite different/generic, but more colorful than the Disney artists
Edmund	Dulac	Illustration, Watercolor, Ink, France	
Asher Brown	Durand	Painting, Oil, Landscape, USA, 19th Century	
Anthonis van	Dyck	Painting, Oil, Portrait, Baroque, Belgium, 17th Century	
Chris	Dyer	Painting, Canada	
Albrecht	Dürer	Illustration, Engraving, B&W, Germany, 15th Century	
Thomas	Eakins	Painting, Oil, Landscape, Portrait, Realism, USA, 19th Century	
Eyvind	Earle	Illustration, Painting, Concept Art, Fantasy, Disney, USA	
Amy	Earles	Illustration, Painting, Oil, Gouache, USA	
Jeff	Easley	Comic, Painting, Oil, Fantasy, Marvel, USA	512px + Highres. Fix, DPM++ SDE Karras
Tristan	Eaton	Illustration, Street Art, Portrait, USA	
